Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai50_20.txt - Instance 1,50,20,5000,0.2,0.8,10,1.1,100,4577,4564,66.87779307365417
tai50_20.txt - Instance 2,50,20,5000,0.2,0.8,10,1.1,100,4642,4642,78.04375147819519
tai50_20.txt - Instance 3,50,20,5000,0.2,0.8,10,1.1,100,4210,4210,79.96530747413635
tai50_20.txt - Instance 4,50,20,5000,0.2,0.8,10,1.1,100,4377,4316,68.36423540115356
tai50_20.txt - Instance 5,50,20,5000,0.2,0.8,10,1.1,100,4536,4404,84.82976198196411
tai50_20.txt - Instance 6,50,20,5000,0.2,0.8,10,1.1,100,4944,4515,82.79705667495728
tai50_20.txt - Instance 7,50,20,5000,0.2,0.8,10,1.1,100,4906,4648,65.44697380065918
tai50_20.txt - Instance 8,50,20,5000,0.2,0.8,10,1.1,100,4539,4426,76.81285548210144
tai50_20.txt - Instance 9,50,20,5000,0.2,0.8,10,1.1,100,4651,4528,79.22092127799988
tai50_20.txt - Instance 10,50,20,5000,0.2,0.8,10,1.1,100,4879,4664,69.72458958625793
tai100_20.txt - Instance 1,100,20,5000,0.2,0.8,10,1.1,100,7968,7760,254.02012991905212
tai100_20.txt - Instance 2,100,20,5000,0.2,0.8,10,1.1,100,7575,7575,253.05794286727905
tai100_20.txt - Instance 3,100,20,5000,0.2,0.8,10,1.1,100,8170,8014,245.60910820960999
tai100_20.txt - Instance 4,100,20,5000,0.2,0.8,10,1.1,100,8034,7635,253.8073012828827
tai100_20.txt - Instance 5,100,20,5000,0.2,0.8,10,1.1,100,8433,7919,244.62394165992737
tai100_20.txt - Instance 6,100,20,5000,0.2,0.8,10,1.1,100,7820,7802,248.89070653915405
tai100_20.txt - Instance 7,100,20,5000,0.2,0.8,10,1.1,100,8304,7724,237.53456115722656
tai100_20.txt - Instance 8,100,20,5000,0.2,0.8,10,1.1,100,7910,7665,253.83464550971985
tai100_20.txt - Instance 9,100,20,5000,0.2,0.8,10,1.1,100,7843,7678,237.47040605545044
tai100_20.txt - Instance 10,100,20,5000,0.2,0.8,10,1.1,100,7869,7509,251.7023856639862
tai15_15.txt - Instance 1,15,15,5000,0.2,0.8,50,1.01,100,1865,1659,7.068939208984375
tai15_15.txt - Instance 2,15,15,5000,0.2,0.8,50,1.01,100,1911,1674,7.563149452209473
