Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai20_15.txt - Instance 3,20,15,200,0.2,0.01,10,0.9,10,2183,2183,0.5027182102203369
tai20_15.txt - Instance 4,20,15,200,0.2,0.01,10,0.9,10,2278,1953,0.44940662384033203
tai20_15.txt - Instance 5,20,15,200,0.2,0.01,10,0.9,10,2335,2187,0.45179152488708496
tai20_15.txt - Instance 6,20,15,200,0.2,0.01,10,0.9,10,2089,2067,0.44105958938598633
tai20_15.txt - Instance 7,20,15,200,0.2,0.01,10,0.9,10,2112,2069,0.42383551597595215
tai20_15.txt - Instance 8,20,15,200,0.2,0.01,10,0.9,10,2197,2081,0.44565272331237793
tai20_15.txt - Instance 9,20,15,200,0.2,0.01,10,0.9,10,2123,2078,0.5405833721160889
tai20_15.txt - Instance 10,20,15,200,0.2,0.01,10,0.9,10,1910,1910,0.5134799480438232
tai20_20.txt - Instance 1,20,20,200,0.2,0.01,10,0.9,10,2679,2633,0.7281174659729004
tai20_20.txt - Instance 2,20,20,200,0.2,0.01,10,0.9,10,2519,2436,0.7765059471130371
tai20_20.txt - Instance 3,20,20,200,0.2,0.01,10,0.9,10,2449,2446,0.8150229454040527
tai20_20.txt - Instance 4,20,20,200,0.2,0.01,10,0.9,10,2773,2770,0.7501559257507324
tai20_20.txt - Instance 5,20,20,200,0.2,0.01,10,0.9,10,2679,2500,0.6515598297119141
tai20_20.txt - Instance 6,20,20,200,0.2,0.01,10,0.9,10,2297,2297,0.7089498043060303
tai20_20.txt - Instance 7,20,20,200,0.2,0.01,10,0.9,10,2870,2615,0.6394124031066895
tai20_20.txt - Instance 8,20,20,200,0.2,0.01,10,0.9,10,2621,2528,0.6500275135040283
tai20_20.txt - Instance 9,20,20,200,0.2,0.01,10,0.9,10,2689,2662,0.6855161190032959
tai20_20.txt - Instance 10,20,20,200,0.2,0.01,10,0.9,10,2691,2581,0.6551218032836914
tai30_15.txt - Instance 1,30,15,200,0.2,0.01,10,0.9,10,3120,2732,0.7237362861633301
tai30_15.txt - Instance 2,30,15,200,0.2,0.01,10,0.9,10,3071,2979,0.7358121871948242
tai30_15.txt - Instance 3,30,15,200,0.2,0.01,10,0.9,10,2795,2795,0.7501158714294434
tai30_15.txt - Instance 4,30,15,200,0.2,0.01,10,0.9,10,3068,3030,0.7307069301605225
tai30_15.txt - Instance 5,30,15,200,0.2,0.01,10,0.9,10,3114,2953,0.7713863849639893
tai30_15.txt - Instance 6,30,15,200,0.2,0.01,10,0.9,10,2967,2879,0.9509882926940918
tai30_15.txt - Instance 7,30,15,200,0.2,0.01,10,0.9,10,3144,2858,1.181002140045166
tai30_15.txt - Instance 8,30,15,200,0.2,0.01,10,0.9,10,2463,2463,0.8297488689422607
tai30_15.txt - Instance 9,30,15,200,0.2,0.01,10,0.9,10,3175,3038,0.7215111255645752
tai30_15.txt - Instance 10,30,15,200,0.2,0.01,10,0.9,10,2940,2691,0.7083673477172852
tai30_20.txt - Instance 1,30,20,200,0.2,0.01,10,0.9,10,3166,3166,1.189894437789917
tai30_20.txt - Instance 2,30,20,200,0.2,0.01,10,0.9,10,3411,3232,1.2263977527618408
tai30_20.txt - Instance 3,30,20,200,0.2,0.01,10,0.9,10,3220,3220,1.4517970085144043
tai30_20.txt - Instance 4,30,20,200,0.2,0.01,10,0.9,10,3337,3337,2.0474390983581543
tai30_20.txt - Instance 5,30,20,200,0.2,0.01,10,0.9,10,3360,3306,1.5885827541351318
tai30_20.txt - Instance 6,30,20,200,0.2,0.01,10,0.9,10,3326,3326,1.252880334854126
tai30_20.txt - Instance 7,30,20,200,0.2,0.01,10,0.9,10,3050,3050,1.2331204414367676
tai30_20.txt - Instance 8,30,20,200,0.2,0.01,10,0.9,10,3452,3254,1.444349765777588
tai30_20.txt - Instance 9,30,20,200,0.2,0.01,10,0.9,10,3207,3207,1.4866440296173096
tai30_20.txt - Instance 10,30,20,200,0.2,0.01,10,0.9,10,3044,3044,1.4967432022094727
tai50_15.txt - Instance 1,50,15,200,0.2,0.01,10,0.9,10,4468,4162,1.7335612773895264
tai50_15.txt - Instance 2,50,15,200,0.2,0.01,10,0.9,10,4474,4369,1.682891607284546
tai50_15.txt - Instance 3,50,15,200,0.2,0.01,10,0.9,10,3830,3830,1.5902669429779053
tai50_15.txt - Instance 4,50,15,200,0.2,0.01,10,0.9,10,4362,4218,1.9561405181884766
tai50_15.txt - Instance 5,50,15,200,0.2,0.01,10,0.9,10,4978,4396,1.6371943950653076
tai50_15.txt - Instance 6,50,15,200,0.2,0.01,10,0.9,10,4525,4426,1.7362089157104492
tai50_15.txt - Instance 7,50,15,200,0.2,0.01,10,0.9,10,4595,4314,1.6799733638763428
tai50_15.txt - Instance 8,50,15,200,0.2,0.01,10,0.9,10,4380,4340,1.8438482284545898
tai50_15.txt - Instance 9,50,15,200,0.2,0.01,10,0.9,10,4220,4066,2.0553276538848877
tai50_15.txt - Instance 10,50,15,200,0.2,0.01,10,0.9,10,4471,4153,1.7172610759735107
tai50_20.txt - Instance 1,50,20,200,0.2,0.01,10,0.9,10,4577,4577,2.8880467414855957
tai50_20.txt - Instance 2,50,20,200,0.2,0.01,10,0.9,10,4642,4642,4.24432373046875
tai50_20.txt - Instance 3,50,20,200,0.2,0.01,10,0.9,10,4210,4210,2.8355400562286377
tai50_20.txt - Instance 4,50,20,200,0.2,0.01,10,0.9,10,4377,4377,3.0651133060455322
tai50_20.txt - Instance 5,50,20,200,0.2,0.01,10,0.9,10,4536,4536,3.0334463119506836
tai50_20.txt - Instance 6,50,20,200,0.2,0.01,10,0.9,10,4944,4632,2.6998894214630127
tai50_20.txt - Instance 7,50,20,200,0.2,0.01,10,0.9,10,4906,4847,2.583286762237549
tai50_20.txt - Instance 8,50,20,200,0.2,0.01,10,0.9,10,4539,4490,3.0160861015319824
tai50_20.txt - Instance 9,50,20,200,0.2,0.01,10,0.9,10,4651,4651,2.837207794189453
tai50_20.txt - Instance 10,50,20,200,0.2,0.01,10,0.9,10,4879,4856,3.3291823863983154
tai100_20.txt - Instance 1,100,20,200,0.2,0.01,10,0.9,10,7968,7968,11.032996654510498
tai100_20.txt - Instance 2,100,20,200,0.2,0.01,10,0.9,10,7575,7575,9.542234897613525
tai100_20.txt - Instance 3,100,20,200,0.2,0.01,10,0.9,10,8170,8170,14.189373970031738
tai100_20.txt - Instance 4,100,20,200,0.2,0.01,10,0.9,10,8034,8034,17.579558610916138
tai100_20.txt - Instance 5,100,20,200,0.2,0.01,10,0.9,10,8433,8395,9.743695497512817
tai100_20.txt - Instance 6,100,20,200,0.2,0.01,10,0.9,10,7820,7820,13.335324764251709
tai100_20.txt - Instance 7,100,20,200,0.2,0.01,10,0.9,10,8304,8183,16.691437005996704
tai100_20.txt - Instance 8,100,20,200,0.2,0.01,10,0.9,10,7910,7803,16.898682832717896
tai100_20.txt - Instance 9,100,20,200,0.2,0.01,10,0.9,10,7843,7843,17.226030111312866
tai100_20.txt - Instance 10,100,20,200,0.2,0.01,10,0.9,10,7869,7869,17.707162141799927
tai15_15.txt - Instance 1,15,15,200,0.1,0.01,10,0.9,10,1865,1806,0.4913816452026367
tai15_15.txt - Instance 2,15,15,200,0.1,0.01,10,0.9,10,1911,1805,0.42383694648742676
tai15_15.txt - Instance 3,15,15,200,0.1,0.01,10,0.9,10,1942,1798,0.5028598308563232
tai15_15.txt - Instance 4,15,15,200,0.1,0.01,10,0.9,10,1946,1797,0.4508781433105469
